mesh,h0,py_time_s,rs_time_s,py_nodes,rs_nodes,py_mean_q,rs_mean_q,speedup
Mixed_Test.14,0.055836291546125974,0.6824330529999543,0.1594467249999525,3315,3317,0.9677809461516328,0.993785253957981,4.280006710706398
rectangular_mesh_quadrilateral1.14,1309.477109190225,0.31204851499990127,0.1621269229999598,3276,3387,0.9944576607911118,0.9935874093659353,1.9247174326498424
rectangular_skewed_mesh_quadrilateral1.14,1309.477109190225,0.3100497660000201,0.16564017000007425,3276,3387,0.9944576607911118,0.993587409365872,1.87182714192989
rectangular_mesh_triangle1.14,1309.477109190225,0.3245021860000179,0.1656069259998958,3276,3387,0.9944576607911118,0.9935874093659796,1.959472310960123
rectangular_skewed_mesh_triangle1.14,1309.477109190225,0.3317061019999983,0.1639594580000221,3276,3387,0.9944576607911118,0.9935874093658912,2.023098307631351
donut_domain.fort.14,0.03720544726144983,0.38741749199994047,0.1592505580000534,2613,2613,0.9932692080190928,0.9916222845248204,2.4327543769096907
annulus_200pts.fort.14,0.03722419436408399,0.42419149900001685,0.1773211170000195,2614,2614,0.9929317365076011,0.9916410942934014,2.3922221232114738
structuredMesh3.14,0.0526429605180997,0.7383082889999741,0.42838478700002725,3315,3344,0.958878341675736,0.9624269152627145,1.7234699069739075
structuredMesh1.14,0.0526429605180997,0.7469787200000155,0.4034277700000075,3315,3344,0.958878341675736,0.962738213594905,1.851579825553411
test3.14,508.98918135290245,0.4374229310000146,0.1753856210000322,2208,2208,0.9913818274730181,0.9899381948284044,2.4940638149574093
square_mesh_test.14,0.0372393657412908,1.1833916920001002,0.31363341099995523,3315,3317,0.9440363686924244,0.9856164689434787,3.773168452388732
test2.14,508.98918135290245,0.4376636120000512,0.1745349029999943,2208,2208,0.9913818274730181,0.9899381948296818,2.50759936538347
test4.14,508.98918135290245,0.4328099030000203,0.17611140000008163,2208,2208,0.9913818274730181,0.9899381948287308,2.4575916323407783
structuredMesh4.14,0.0526429605180997,0.735753931999966,0.41435559299998204,3315,3344,0.958878341675736,0.9519484684716358,1.7756582617191747
structuredMesh2.14,0.0526429605180997,0.7301088489999756,0.3635698829999683,3315,3344,0.958878341675736,0.9806579922441028,2.008166471258675
Baranja_Hill.14,29.337657381508755,0.4937311309998904,0.22339797899996938,2582,2582,0.9913389711152651,0.9890873062647196,2.210096676836804
Baranja_Hill_ADMESH_v2.14,29.34448388753199,0.6081539239999074,0.23480812100001458,2578,2578,0.9905005953264929,0.9882721451049525,2.590003792926181
test1.14,552.1577850377245,0.3233007499999303,0.12087378900002932,2167,2167,0.9926402506141477,0.9906981102612048,2.6746969105092906
simple_test_case.14,0.037242454752357795,0.3115217570000368,0.27575059900004817,3317,3317,0.9923602464679792,0.9870064610217005,1.1297228659872554
Test_Case_3.14,0.12552767519863067,0.4514440990000139,0.2007210890000124,2244,2244,0.9902748924190198,0.9575140375867355,2.24911144737754
Test_Case_1.14,0.06354567462363458,0.5641652409999551,0.19240199400007896,2760,2760,0.9918359115922575,0.969985189871239,2.932221383317491
circle.14,0.29777583873576474,0.3695652669999845,0.155018999000049,2615,2615,0.9926199365644155,0.991849822852996,2.3839998283040624
Test_Case_2.14,0.19491834761491306,0.31634268799996335,0.1960262470000771,2388,2388,0.9909696833234506,0.9826565528268622,1.6137771999473056
islands1.14,0.19478799946378234,0.6538522199999761,0.19491045999996004,2387,2387,0.9403819463684904,0.969236111103037,3.35462868437184
Test_Case_4.2.14,0.8152136813567568,0.43058406800003013,0.3787864599999011,3271,3271,0.9941834457022733,0.9434641393284224,1.1367461973169328
wetting_and_drying_test.14,1153.2659135752865,0.2649406979999185,0.10653881700000056,2309,2399,0.9909307370657662,0.9903591175762367,2.4867996985541625
Block_O.14,0.907268678317561,0.4147813299999825,0.209924835000038,3027,3027,0.9923450740603406,0.9911356940058405,1.9758564059364745
Test_Case_4.14,0.8152136813567568,0.848960003000002,0.31505635799999254,3242,3242,0.9032713074128783,0.9791038654818149,2.694629013009863
Lake_Erie_mesh_refined.14,0.0498098942411678,0.3527933730000541,0.12416678599993247,1612,1612,0.9406733321572669,0.9252674344414747,2.8412861793833173
WNAT_Test.14,0.7033435660836407,0.31152818999999,0.23128218600004402,2396,2396,0.9892938723305239,0.896384481422886,1.3469614559935486
Italy.14,0.18460834980208402,0.6619077259999813,0.29951029400001516,2779,2779,0.8817750860655353,0.9547970357099573,2.209966532903032
LakeErie_5k_500.14,0.04980357065359408,0.36509916299996803,0.12802614500003529,1613,1613,0.9442613923361615,0.9261633968668712,2.8517547177560285
Deleware_Bay.14,0.03734234265543623,0.4465953049999598,0.15879088999997748,1928,1928,0.9886517147382026,0.9828215135378321,2.8124743491268496
Deleware_Bay_hmin_100_hmax_20000.14,0.03734234265543623,0.4269473319999406,0.15662679299998672,1928,1928,0.9886517147382026,0.982821513537958,2.7258895098489107
Lake_Michigan_mesh.14,0.0712067415478891,0.4015836329999729,0.1601760659999627,2084,2084,0.9922058619124037,0.9885365700296859,2.5071388193543624
WNAT_Hagen.14,0.7048653448332132,0.2913410709999198,0.13585740600001373,2397,2397,0.9895559193024877,0.9887985003042997,2.1444621944267825
Chesapeake_Bay.14,0.33778008696708817,0.48699471700001595,0.19220636500006094,2458,2480,0.9778172743406413,0.9808616316304303,2.5337075439716137
Great_Lakes.14,0.20799133942844714,0.4637327990000131,0.1859775149999905,1967,1967,0.982359229475711,0.980878110311884,2.49348852198631
WNAT_Onur.14,0.7047925293854269,0.31878253100001075,0.17051336099996206,2397,2397,0.9891553673726138,0.9802709179711186,1.8695457595260332
