mesh,h0,diag,py_time_s,py_nodes,py_elems,py_mean_q,rs_time_s,rs_nodes,rs_elems,rs_mean_q,speedup
Mixed_Test.14,0.055836291546125974,4.242640687119285,0.4399,3317,6465,0.9921,0.2475,3317,6465,0.9941,1.78
rectangular_mesh_quadrilateral1.14,1309.477109190225,118848.64324004712,0.432,3276,6326,0.993,0.2526,3276,6363,0.9903,1.71
rectangular_skewed_mesh_quadrilateral1.14,1309.477109190225,118848.64324004712,0.4357,3276,6326,0.993,0.2565,3276,6375,0.9885,1.7
rectangular_mesh_triangle1.14,1309.477109190225,118848.64324004712,0.4556,3276,6326,0.993,0.24,3276,6363,0.9908,1.9
rectangular_skewed_mesh_triangle1.14,1309.477109190225,118848.64324004712,0.4316,3276,6326,0.993,0.2708,3276,6345,0.9925,1.59
donut_domain.fort.14,0.03720544726144983,2.8270033703899258,0.4181,2613,5081,0.993,0.2662,2613,5091,0.9926,1.57
annulus_200pts.fort.14,0.03722419436408399,2.8284271247461903,0.4754,2615,5085,0.9928,0.326,2615,5094,0.9928,1.46
structuredMesh3.14,0.0526429605180997,4.47213595499958,0.3925,3344,6492,0.9938,0.2643,3344,6492,0.9944,1.49
structuredMesh1.14,0.0526429605180997,4.47213595499958,0.3853,3344,6492,0.9938,0.2609,3344,6492,0.994,1.48
test3.14,508.98918135290245,39510.15373301928,0.2847,2207,4262,0.9923,0.1726,2207,4265,0.9931,1.65
square_mesh_test.14,0.0372393657412908,2.8295799008659333,0.3778,3317,6465,0.9926,0.2445,3317,6465,0.9939,1.55
test2.14,508.98918135290245,39510.15373301928,0.2847,2207,4262,0.9923,0.1625,2207,4265,0.9931,1.75
test4.14,508.98918135290245,39510.15373301928,0.2818,2207,4262,0.9923,0.1616,2207,4265,0.9931,1.74
structuredMesh4.14,0.0526429605180997,4.47213595499958,0.3997,3344,6492,0.9938,0.2702,3344,6492,0.9927,1.48
structuredMesh2.14,0.0526429605180997,4.47213595499958,0.3924,3344,6492,0.9938,0.263,3344,6494,0.9941,1.49
Baranja_Hill.14,29.337657381508755,2229.6327811709316,0.3551,2582,5013,0.9921,0.213,2582,5018,0.9929,1.67
Baranja_Hill_ADMESH_v2.14,29.34448388753199,2230.221966078981,0.3555,2580,5010,0.9919,0.2073,2580,5015,0.9927,1.71
test1.14,552.1577850377245,41981.759216846855,0.3423,2173,4209,0.992,0.1959,2173,4212,0.993,1.75
simple_test_case.14,0.037242454752357795,2.829815294845762,0.3886,3317,6465,0.9927,0.2376,3317,6465,0.9941,1.64
Test_Case_3.14,0.12552767519863067,9.551330516884434,0.2854,2242,4336,0.9906,0.154,2242,4344,0.9911,1.85
Test_Case_1.14,0.06354567462363458,4.8284271247842385,0.3842,2754,5362,0.9924,0.2354,2754,5366,0.9933,1.63
circle.14,0.29777583873576474,22.62607087108352,0.5683,2617,5091,0.9926,0.4294,2617,5097,0.9931,1.32
Test_Case_2.14,0.19491834761491306,14.844821477239687,0.2888,2388,4622,0.9916,0.1613,2388,4622,0.9933,1.79
islands1.14,0.19478799946378234,14.835229011107216,0.2856,2387,4620,0.9916,0.1566,2387,4620,0.9933,1.82
Test_Case_4.2.14,0.8152136813567568,67.988061808566,0.4726,3276,6370,0.994,0.305,3276,6371,0.9951,1.55
wetting_and_drying_test.14,1153.2659135752865,87711.56430095133,0.355,2311,4478,0.9915,0.2153,2311,4491,0.9909,1.65
Block_O.14,0.907268678317561,69.65894287427842,0.3827,3002,5840,0.9935,0.2335,3002,5863,0.9915,1.64
Test_Case_4.14,0.8152136813567568,67.988061808566,0.4229,3241,6315,0.9913,0.258,3241,6319,0.9925,1.64
Lake_Erie_mesh_refined.14,0.0498098942411678,4.877403531340387,0.206,1614,3050,0.9863,0.1164,1614,3061,0.9855,1.77
WNAT_Test.14,0.7033435660836407,53.442572349307014,0.333,2395,4655,0.9872,0.193,2395,4664,0.9884,1.73
Italy.14,0.18460834980208402,14.122180327627964,0.3653,2748,5338,0.9925,0.2178,2748,5349,0.9924,1.68
LakeErie_5k_500.14,0.04980357065359408,4.8770751902594744,0.2118,1614,3050,0.9863,0.1108,1614,3061,0.9856,1.91
Deleware_Bay.14,0.03734234265543623,2.8426880589605297,0.2566,1926,3719,0.9905,0.1536,1926,3722,0.9918,1.67
Deleware_Bay_hmin_100_hmax_20000.14,0.03734234265543623,2.8426880589605297,0.3033,1926,3719,0.9905,0.1362,1926,3722,0.9918,2.23
Lake_Michigan_mesh.14,0.0712067415478891,5.547553778317913,0.3117,2087,4018,0.993,0.1849,2087,4025,0.9928,1.69
WNAT_Hagen.14,0.7048653448332132,53.55829519736715,0.3632,2394,4632,0.9907,0.2161,2394,4663,0.9879,1.68
Chesapeake_Bay.14,0.33778008696708817,25.674551102713515,0.3663,2483,4806,0.9907,0.2085,2483,4814,0.991,1.76
Great_Lakes.14,0.20799133942844714,18.043636776044345,0.2797,1968,3783,0.9892,0.1527,1968,3795,0.9886,1.83
WNAT_Onur.14,0.7047925293854269,53.55274824610536,0.3541,2394,4631,0.9907,0.2599,2394,4663,0.9879,1.36
